dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,pred
2012-05-21,2,1,5,13,0,1,1,3,0.6,0.5606,0.83,0.2537,197.29735285682725
2012-05-21,2,1,5,14,0,1,1,3,0.6,0.5606,0.83,0.194,194.09886770497133
2012-05-21,2,1,5,15,0,1,1,2,0.64,0.6061,0.73,0.194,263.21603138550586
2012-05-21,2,1,5,16,0,1,1,2,0.64,0.6061,0.73,0.2537,367.3996612325325
2012-05-21,2,1,5,17,0,1,1,2,0.66,0.6212,0.69,0.2537,747.1696681742529
2012-05-21,2,1,5,18,0,1,1,1,0.64,0.6061,0.73,0.1045,728.8643415894511
2012-05-21,2,1,5,19,0,1,1,1,0.66,0.6212,0.69,0.0896,519.5739745351947
2012-05-21,2,1,5,20,0,1,1,1,0.64,0.6061,0.69,0.1343,363.3684052561121
2012-05-21,2,1,5,21,0,1,1,1,0.62,0.6061,0.69,0.0896,266.1423703444037
2012-05-21,2,1,5,22,0,1,1,2,0.62,0.5909,0.73,0.1642,207.46230075859043
2012-05-21,2,1,5,23,0,1,1,1,0.62,0.5909,0.73,0.2836,131.31478561167094
2012-05-22,2,1,5,0,0,2,1,1,0.58,0.5455,0.83,0.2537,37.832333961973674
2012-05-22,2,1,5,1,0,2,1,2,0.58,0.5455,0.83,0.1343,27.81599787696442
2012-05-22,2,1,5,2,0,2,1,2,0.58,0.5455,0.83,0.1045,20.35510654559819
2012-05-22,2,1,5,3,0,2,1,2,0.58,0.5455,0.83,0.1045,20.009667209550837
2012-05-22,2,1,5,4,0,2,1,2,0.56,0.5303,0.88,0.1642,15.670813480145105
2012-05-22,2,1,5,5,0,2,1,3,0.56,0.5303,0.88,0.194,35.64180908208623
2012-05-22,2,1,5,6,0,2,1,3,0.56,0.5303,0.88,0.1045,117.44549569412636
2012-05-22,2,1,5,7,0,2,1,3,0.56,0.5303,0.88,0.1045,249.95535523729433
2012-05-22,2,1,5,8,0,2,1,2,0.56,0.5303,0.88,0.1343,585.7171506893878
2012-05-22,2,1,5,9,0,2,1,2,0.6,0.5606,0.83,0.1045,327.97753632835105
2012-05-22,2,1,5,10,0,2,1,2,0.6,0.5758,0.78,0.0896,210.76639934841324
2012-05-22,2,1,5,11,0,2,1,2,0.6,0.5758,0.78,0.0,223.22296795432723
2012-05-22,2,1,5,12,0,2,1,2,0.62,0.5909,0.78,0.1045,261.0563723751924
2012-05-22,2,1,5,13,0,2,1,2,0.64,0.6061,0.73,0.0,262.9853604545838
2012-05-22,2,1,5,14,0,2,1,2,0.64,0.6061,0.73,0.1045,254.87050128524874
2012-05-22,2,1,5,15,0,2,1,1,0.7,0.6515,0.61,0.0896,278.422656708515
2012-05-22,2,1,5,16,0,2,1,1,0.68,0.6364,0.61,0.1045,417.61375099955933
2012-05-22,2,1,5,17,0,2,1,1,0.72,0.6667,0.54,0.0,763.1959739764382
2012-05-22,2,1,5,18,0,2,1,1,0.68,0.6364,0.61,0.1343,791.9567737292009
2012-05-22,2,1,5,19,0,2,1,1,0.66,0.6212,0.69,0.2239,533.0884371396945
2012-05-22,2,1,5,20,0,2,1,1,0.64,0.6061,0.73,0.2537,369.25718811975395
2012-05-22,2,1,5,21,0,2,1,1,0.62,0.5909,0.78,0.1343,294.08737271077644
2012-05-22,2,1,5,22,0,2,1,1,0.62,0.5909,0.73,0.0896,223.61052683869596
2012-05-22,2,1,5,23,0,2,1,1,0.62,0.5909,0.73,0.1045,154.21020374900715
2012-05-23,2,1,5,0,0,3,1,1,0.62,0.5909,0.78,0.1343,44.45065005812571
2012-05-23,2,1,5,1,0,3,1,1,0.6,0.5606,0.83,0.1642,26.270889242770167
2012-05-23,2,1,5,2,0,3,1,2,0.6,0.5606,0.83,0.1642,21.43099399198738
2012-05-23,2,1,5,3,0,3,1,1,0.6,0.5758,0.78,0.1045,17.59479037771207
2012-05-23,2,1,5,4,0,3,1,3,0.58,0.5455,0.83,0.194,24.42938546697071
2012-05-23,2,1,5,5,0,3,1,3,0.56,0.5303,0.88,0.2537,32.547075943845435
2012-05-23,2,1,5,6,0,3,1,1,0.56,0.5303,0.88,0.1045,142.7099963908709
2012-05-23,2,1,5,7,0,3,1,1,0.58,0.5455,0.83,0.0,401.73560099832235
2012-05-23,2,1,5,8,0,3,1,1,0.58,0.5455,0.83,0.0,633.4129490824623
2012-05-23,2,1,5,9,0,3,1,2,0.62,0.5909,0.78,0.0,320.9558784181705
2012-05-23,2,1,5,10,0,3,1,1,0.62,0.5909,0.78,0.0896,220.0723223572193
2012-05-23,2,1,5,11,0,3,1,1,0.64,0.6061,0.73,0.0,234.86047864044775
2012-05-23,2,1,5,12,0,3,1,2,0.66,0.6212,0.69,0.0896,265.94326325124496
2012-05-23,2,1,5,13,0,3,1,2,0.66,0.6212,0.74,0.1642,270.1805523935705
2012-05-23,2,1,5,14,0,3,1,1,0.68,0.6364,0.65,0.1343,267.7558741554505
2012-05-23,2,1,5,15,0,3,1,2,0.7,0.6515,0.61,0.0,266.7559378061184
2012-05-23,2,1,5,16,0,3,1,3,0.7,0.6515,0.61,0.0896,355.47431189402886
2012-05-23,2,1,5,17,0,3,1,3,0.64,0.6061,0.69,0.1045,676.942201994882
2012-05-23,2,1,5,18,0,3,1,3,0.64,0.6061,0.69,0.1045,693.6980605125702
2012-05-23,2,1,5,19,0,3,1,2,0.62,0.5758,0.83,0.1642,430.0029263034536
2012-05-23,2,1,5,20,0,3,1,2,0.62,0.5758,0.83,0.0896,323.63109199699574
2012-05-23,2,1,5,21,0,3,1,2,0.62,0.5758,0.83,0.0,253.16460773286178
2012-05-23,2,1,5,22,0,3,1,2,0.62,0.5758,0.83,0.1642,195.90434824738549
2012-05-23,2,1,5,23,0,3,1,1,0.6,0.5606,0.83,0.1343,137.46823687274642
2012-05-24,2,1,5,0,0,4,1,1,0.6,0.5606,0.83,0.0896,45.31029063312183
2012-05-24,2,1,5,1,0,4,1,1,0.6,0.5455,0.88,0.0896,27.204743449512293
2012-05-24,2,1,5,2,0,4,1,1,0.6,0.5455,0.88,0.0,19.399646333049557
2012-05-24,2,1,5,3,0,4,1,2,0.6,0.5455,0.88,0.1045,21.01573701013534
2012-05-24,2,1,5,4,0,4,1,2,0.6,0.5455,0.88,0.1642,22.4489574551518
2012-05-24,2,1,5,5,0,4,1,2,0.6,0.5455,0.88,0.1642,45.64160768276562
2012-05-24,2,1,5,6,0,4,1,2,0.6,0.5455,0.88,0.1642,136.68886683132675
2012-05-24,2,1,5,7,0,4,1,1,0.6,0.5606,0.83,0.1045,396.3942118883118
2012-05-24,2,1,5,8,0,4,1,1,0.62,0.5909,0.73,0.1343,600.415896044702
2012-05-24,2,1,5,9,0,4,1,1,0.62,0.5909,0.73,0.1642,330.55450779116853
2012-05-24,2,1,5,10,0,4,1,1,0.64,0.6061,0.65,0.1343,218.3240721011936
2012-05-24,2,1,5,11,0,4,1,1,0.66,0.6212,0.65,0.1343,244.66952826949347
2012-05-24,2,1,5,12,0,4,1,1,0.7,0.6515,0.58,0.1045,276.09266833444946
2012-05-24,2,1,5,13,0,4,1,1,0.72,0.6667,0.54,0.1642,276.37283350563195
2012-05-24,2,1,5,14,0,4,1,1,0.74,0.6818,0.55,0.2239,266.8167820616876
2012-05-24,2,1,5,15,0,4,1,1,0.74,0.6818,0.55,0.2537,271.53093563231704
2012-05-24,2,1,5,16,0,4,1,1,0.74,0.6818,0.55,0.3582,401.6963188045145
2012-05-24,2,1,5,17,0,4,1,1,0.74,0.6818,0.55,0.2836,782.8546224578682
2012-05-24,2,1,5,18,0,4,1,1,0.72,0.6667,0.54,0.3284,767.3714989066254
2012-05-24,2,1,5,19,0,4,1,1,0.7,0.6515,0.61,0.2985,540.983464972171
2012-05-24,2,1,5,20,0,4,1,2,0.66,0.6212,0.69,0.2836,347.43488769289553
2012-05-24,2,1,5,21,0,4,1,3,0.64,0.5909,0.78,0.1642,224.42732897868177
2012-05-24,2,1,5,22,0,4,1,2,0.64,0.5909,0.78,0.1045,226.75845362676822
2012-05-24,2,1,5,23,0,4,1,2,0.64,0.5909,0.78,0.1343,174.48163351560316
2012-05-25,2,1,5,0,0,5,1,1,0.62,0.5758,0.83,0.1343,66.04044413399019
2012-05-25,2,1,5,1,0,5,1,1,0.62,0.5758,0.83,0.0896,40.603278938573546
2012-05-25,2,1,5,2,0,5,1,2,0.62,0.5758,0.83,0.0,32.53273887564415
2012-05-25,2,1,5,3,0,5,1,2,0.62,0.5606,0.88,0.1045,29.515068095031744
2012-05-25,2,1,5,4,0,5,1,2,0.62,0.5606,0.88,0.0,29.515068095031744
2012-05-25,2,1,5,5,0,5,1,2,0.62,0.5606,0.88,0.0896,44.43947726325694
2012-05-25,2,1,5,6,0,5,1,2,0.62,0.5606,0.88,0.1045,135.4867364118181
2012-05-25,2,1,5,7,0,5,1,2,0.62,0.5606,0.88,0.1642,364.10051763045175
2012-05-25,2,1,5,8,0,5,1,2,0.64,0.5758,0.89,0.1045,602.0469115007584
2012-05-25,2,1,5,9,0,5,1,2,0.64,0.5758,0.89,0.1343,357.5379977290458
2012-05-25,2,1,5,10,0,5,1,1,0.68,0.6364,0.79,0.1642,333.55059259925605
2012-05-25,2,1,5,11,0,5,1,1,0.68,0.6364,0.79,0.1343,351.60210917498244
2012-05-25,2,1,5,12,0,5,1,1,0.72,0.6818,0.66,0.1045,424.7978266520601
2012-05-25,2,1,5,13,0,5,1,1,0.74,0.6818,0.62,0.1343,438.52632292229157
2012-05-25,2,1,5,14,0,5,1,1,0.74,0.6818,0.58,0.1343,431.1505739342245
2012-05-25,2,1,5,15,0,5,1,1,0.76,0.7121,0.62,0.194,445.3380866945873
2012-05-25,2,1,5,16,0,5,1,1,0.78,0.7121,0.52,0.2239,560.3775211529536
2012-05-25,2,1,5,17,0,5,1,1,0.76,0.7121,0.62,0.2836,789.0017877654673
2012-05-25,2,1,5,18,0,5,1,1,0.76,0.7121,0.62,0.194,762.698938464012
2012-05-25,2,1,5,19,0,5,1,1,0.74,0.6818,0.62,0.2537,544.1971612134577
2012-05-25,2,1,5,20,0,5,1,1,0.7,0.6515,0.65,0.1642,424.7267152680795
2012-05-25,2,1,5,21,0,5,1,1,0.7,0.6515,0.65,0.1343,360.48149293543395
2012-05-25,2,1,5,22,0,5,1,1,0.66,0.6212,0.74,0.1045,301.8635203108769
2012-05-25,2,1,5,23,0,5,1,1,0.66,0.6061,0.78,0.2239,266.34323393087163
2012-05-26,2,1,5,0,0,6,0,1,0.64,0.5758,0.83,0.1642,132.3744695178686
2012-05-26,2,1,5,1,0,6,0,1,0.64,0.5758,0.83,0.1343,101.85437168327488
2012-05-26,2,1,5,2,0,6,0,1,0.64,0.5758,0.89,0.1343,75.37470080690986
2012-05-26,2,1,5,3,0,6,0,1,0.62,0.5606,0.88,0.1045,40.54574309702011
2012-05-26,2,1,5,4,0,6,0,1,0.62,0.5606,0.88,0.1343,30.513176724777754
2012-05-26,2,1,5,5,0,6,0,1,0.62,0.5758,0.83,0.2537,33.09873180963433
2012-05-26,2,1,5,6,0,6,0,1,0.62,0.5606,0.88,0.194,47.26806955349915
2012-05-26,2,1,5,7,0,6,0,2,0.62,0.5606,0.88,0.1642,145.89114334524555
2012-05-26,2,1,5,8,0,6,0,1,0.64,0.5909,0.78,0.1343,309.68293677942256
2012-05-26,2,1,5,9,0,6,0,1,0.64,0.5758,0.83,0.194,319.75912087854005
2012-05-26,2,1,5,10,0,6,0,1,0.68,0.6364,0.79,0.2239,471.23561490280866
2012-05-26,2,1,5,11,0,6,0,1,0.7,0.6667,0.74,0.194,566.9263416906801
2012-05-26,2,1,5,12,0,6,0,1,0.74,0.697,0.66,0.2239,648.7106062735986
2012-05-26,2,1,5,13,0,6,0,1,0.76,0.7273,0.66,0.194,643.8099794899047
2012-05-26,2,1,5,14,0,6,0,1,0.76,0.7273,0.66,0.2239,637.638244672837
2012-05-26,2,1,5,15,0,6,0,1,0.76,0.7273,0.66,0.2836,635.3008221233594
2012-05-26,2,1,5,16,0,6,0,1,0.78,0.7273,0.55,0.2537,627.0156175737288
2012-05-26,2,1,5,17,0,6,0,2,0.78,0.7121,0.52,0.2537,584.4099172703491
2012-05-26,2,1,5,18,0,6,0,2,0.76,0.697,0.52,0.194,556.686089078069
2012-05-26,2,1,5,19,0,6,0,2,0.74,0.697,0.66,0.2239,484.54605773749756
2012-05-26,2,1,5,20,0,6,0,2,0.74,0.6818,0.55,0.194,402.55907586928976
2012-05-26,2,1,5,21,0,6,0,2,0.72,0.6818,0.62,0.194,340.3214031138296
2012-05-26,2,1,5,22,0,6,0,1,0.7,0.6667,0.74,0.2537,291.3335272867374
2012-05-26,2,1,5,23,0,6,0,1,0.7,0.6667,0.74,0.2537,261.26767648056443
2012-05-27,2,1,5,0,0,0,0,2,0.68,0.6364,0.69,0.1642,117.4672078726394
2012-05-27,2,1,5,1,0,0,0,1,0.66,0.6212,0.74,0.2239,101.0414998240997
2012-05-27,2,1,5,2,0,0,0,1,0.64,0.6061,0.73,0.2239,81.6875531434184
2012-05-27,2,1,5,3,0,0,0,1,0.64,0.6061,0.73,0.1642,50.80746819034544
2012-05-27,2,1,5,4,0,0,0,1,0.62,0.5758,0.83,0.194,29.783229096552915
2012-05-27,2,1,5,5,0,0,0,1,0.62,0.5758,0.83,0.194,29.727358382678496
2012-05-27,2,1,5,6,0,0,0,1,0.62,0.5758,0.83,0.1642,45.80490159066816
2012-05-27,2,1,5,7,0,0,0,1,0.62,0.5606,0.88,0.1642,88.59765234204829
2012-05-27,2,1,5,8,0,0,0,1,0.64,0.5758,0.83,0.194,180.89830856640984
2012-05-27,2,1,5,9,0,0,0,1,0.66,0.6061,0.83,0.2239,240.5703040000619
2012-05-27,2,1,5,10,0,0,0,1,0.68,0.6364,0.74,0.2537,363.62337651670595
2012-05-27,2,1,5,11,0,0,0,1,0.72,0.6818,0.66,0.2239,461.6438511776471
2012-05-27,2,1,5,12,0,0,0,1,0.74,0.697,0.66,0.2537,518.717495484001
2012-05-27,2,1,5,13,0,0,0,1,0.76,0.7121,0.58,0.194,529.7172664545863
2012-05-27,2,1,5,14,0,0,0,1,0.76,0.7121,0.58,0.2537,513.7748170041147
2012-05-27,2,1,5,15,0,0,0,1,0.78,0.7121,0.52,0.2836,523.2768591510373
2012-05-27,2,1,5,16,0,0,0,1,0.78,0.7121,0.52,0.2836,507.53349585744235
2012-05-27,2,1,5,17,0,0,0,1,0.78,0.7121,0.49,0.2985,559.6511969875505
2012-05-27,2,1,5,18,0,0,0,1,0.76,0.7121,0.58,0.2985,524.7006674272324
2012-05-27,2,1,5,19,0,0,0,1,0.76,0.7121,0.58,0.194,454.9953691804196
2012-05-27,2,1,5,20,0,0,0,1,0.74,0.6818,0.55,0.1642,324.8978931938199
2012-05-27,2,1,5,21,0,0,0,3,0.66,0.6212,0.69,0.4179,213.7969966532802
2012-05-27,2,1,5,22,0,0,0,3,0.62,0.5758,0.83,0.0,130.82783758480596
2012-05-27,2,1,5,23,0,0,0,3,0.62,0.5758,0.83,0.1343,101.56618505063396
2012-05-28,2,1,5,0,1,1,0,1,0.62,0.5758,0.83,0.2239,99.90831346282876
2012-05-28,2,1,5,1,1,1,0,2,0.62,0.5909,0.78,0.2985,52.25786976205976
2012-05-28,2,1,5,2,1,1,0,1,0.6,0.5606,0.83,0.2239,63.35711481032715
2012-05-28,2,1,5,3,1,1,0,1,0.62,0.5909,0.73,0.1642,43.55457326492412
2012-05-28,2,1,5,4,1,1,0,1,0.6,0.5758,0.78,0.1343,35.73820219282545
2012-05-28,2,1,5,5,1,1,0,1,0.6,0.5758,0.78,0.1343,52.05616395078597
2012-05-28,2,1,5,6,1,1,0,1,0.62,0.5909,0.73,0.1642,72.06368949591501
2012-05-28,2,1,5,7,1,1,0,1,0.62,0.5909,0.78,0.1045,188.02004272334008
2012-05-28,2,1,5,8,1,1,0,1,0.66,0.6212,0.69,0.0,272.1353575915657
2012-05-28,2,1,5,9,1,1,0,1,0.7,0.6515,0.61,0.0,260.16359048421793
2012-05-28,2,1,5,10,1,1,0,1,0.7,0.6515,0.61,0.0,335.3955397689218
2012-05-28,2,1,5,11,1,1,0,1,0.72,0.6818,0.66,0.1343,420.74503532629893
2012-05-28,2,1,5,12,1,1,0,1,0.76,0.7121,0.62,0.1343,466.1397763369306
2012-05-28,2,1,5,13,1,1,0,1,0.8,0.7879,0.63,0.2836,416.39447558076444
2012-05-28,2,1,5,14,1,1,0,1,0.8,0.7879,0.63,0.2836,408.9345077558023
2012-05-28,2,1,5,15,1,1,0,1,0.82,0.7879,0.56,0.2985,417.64975009401985
2012-05-28,2,1,5,16,1,1,0,1,0.82,0.7879,0.56,0.3284,408.9358422954008
2012-05-28,2,1,5,17,1,1,0,1,0.82,0.7879,0.56,0.2985,561.101666405559
2012-05-28,2,1,5,18,1,1,0,1,0.8,0.7727,0.59,0.2985,545.9859618035205
2012-05-28,2,1,5,19,1,1,0,1,0.8,0.7576,0.55,0.2985,478.58510924611136
2012-05-28,2,1,5,20,1,1,0,1,0.78,0.7424,0.62,0.2985,335.1694592746756
2012-05-28,2,1,5,21,1,1,0,1,0.76,0.7273,0.66,0.2836,260.4194650685737
2012-05-28,2,1,5,22,1,1,0,1,0.74,0.697,0.7,0.1642,235.9626300523608
2012-05-28,2,1,5,23,1,1,0,1,0.72,0.697,0.74,0.1642,168.66556209211916
2012-05-29,2,1,5,0,0,2,1,1,0.7,0.6667,0.79,0.194,48.321143731666304
2012-05-29,2,1,5,1,0,2,1,1,0.7,0.6667,0.79,0.194,30.14138291631075
2012-05-29,2,1,5,2,0,2,1,1,0.68,0.6364,0.83,0.1343,24.725507540609367
2012-05-29,2,1,5,3,0,2,1,1,0.68,0.6364,0.79,0.2836,21.990018165417837
2012-05-29,2,1,5,4,0,2,1,1,0.66,0.6061,0.78,0.2239,18.12555744261165
2012-05-29,2,1,5,5,0,2,1,1,0.66,0.6061,0.78,0.2239,47.62367406724303
2012-05-29,2,1,5,6,0,2,1,1,0.66,0.6061,0.78,0.2239,147.04989676146766
2012-05-29,2,1,5,7,0,2,1,1,0.66,0.6061,0.78,0.2239,379.07098597527084
2012-05-29,2,1,5,8,0,2,1,1,0.7,0.6667,0.74,0.194,582.2329573638774
2012-05-29,2,1,5,9,0,2,1,1,0.72,0.6818,0.7,0.2537,316.7549273728445
2012-05-29,2,1,5,10,0,2,1,1,0.74,0.697,0.7,0.2985,212.6309076135072
2012-05-29,2,1,5,11,0,2,1,1,0.76,0.7121,0.62,0.2985,233.84432478296853
2012-05-29,2,1,5,12,0,2,1,1,0.8,0.7576,0.55,0.3284,265.68444472232125
2012-05-29,2,1,5,13,0,2,1,1,0.82,0.7727,0.52,0.3881,262.8847454676471
2012-05-29,2,1,5,14,0,2,1,1,0.82,0.7727,0.52,0.4179,253.66207563210133
2012-05-29,2,1,5,15,0,2,1,1,0.82,0.7727,0.49,0.3881,263.1286119271063
2012-05-29,2,1,5,16,0,2,1,1,0.82,0.7727,0.49,0.4925,381.64154738632783
2012-05-29,2,1,5,17,0,2,1,1,0.82,0.7576,0.46,0.4179,768.6104115402061
2012-05-29,2,1,5,18,0,2,1,1,0.8,0.7424,0.49,0.4925,730.194405867064
2012-05-29,2,1,5,19,0,2,1,1,0.78,0.7121,0.52,0.3582,535.1709777363147
2012-05-29,2,1,5,20,0,2,1,3,0.7,0.6515,0.61,0.5224,320.3815950508758
2012-05-29,2,1,5,21,0,2,1,3,0.6,0.5455,0.88,0.4478,167.2546629534768
2012-05-29,2,1,5,22,0,2,1,2,0.62,0.5606,0.88,0.0896,188.17200481908682
2012-05-29,2,1,5,23,0,2,1,3,0.62,0.5455,0.94,0.0,99.70611594580062
2012-05-30,2,1,5,0,0,3,1,3,0.64,0.5758,0.89,0.1045,40.564071188116806
2012-05-30,2,1,5,1,0,3,1,3,0.64,0.5758,0.89,0.194,35.7861873714286
2012-05-30,2,1,5,2,0,3,1,3,0.62,0.5455,0.94,0.0896,21.927540523678918
2012-05-30,2,1,5,3,0,3,1,3,0.62,0.5606,0.88,0.1343,24.240446225458697
2012-05-30,2,1,5,4,0,3,1,2,0.62,0.5606,0.88,0.1343,21.833893634582456
2012-05-30,2,1,5,5,0,3,1,2,0.62,0.5909,0.78,0.1343,44.854013594051395
2012-05-30,2,1,5,6,0,3,1,2,0.6,0.5758,0.78,0.1045,150.5371589768497
2012-05-30,2,1,5,7,0,3,1,3,0.6,0.5758,0.78,0.194,265.5115843471548
2012-05-30,2,1,5,8,0,3,1,2,0.6,0.5909,0.73,0.1642,568.6013886203336
2012-05-30,2,1,5,9,0,3,1,2,0.62,0.6061,0.69,0.194,313.7292569540192
2012-05-30,2,1,5,10,0,3,1,2,0.62,0.6061,0.69,0.2836,204.35515676130234
2012-05-30,2,1,5,11,0,3,1,2,0.66,0.6212,0.65,0.194,237.62486719397765
2012-05-30,2,1,5,12,0,3,1,1,0.7,0.6515,0.54,0.0,274.15702176821446
2012-05-30,2,1,5,13,0,3,1,1,0.7,0.6515,0.51,0.0,272.7982979081938
2012-05-30,2,1,5,14,0,3,1,1,0.72,0.6515,0.42,0.1343,275.9092984145811
2012-05-30,2,1,5,15,0,3,1,1,0.72,0.6667,0.51,0.1343,279.5069703291316
2012-05-30,2,1,5,16,0,3,1,1,0.72,0.6667,0.51,0.1642,416.29857117703017
2012-05-30,2,1,5,17,0,3,1,1,0.74,0.6667,0.48,0.0896,762.1483938444804
2012-05-30,2,1,5,18,0,3,1,1,0.74,0.6667,0.48,0.1642,784.8443320694319
2012-05-30,2,1,5,19,0,3,1,1,0.72,0.6667,0.54,0.1642,548.3010223073816
2012-05-30,2,1,5,20,0,3,1,2,0.54,0.5152,0.6,0.1343,318.8546904305433
2012-05-30,2,1,5,21,0,3,1,1,0.68,0.6364,0.57,0.1045,300.2182215212792
2012-05-30,2,1,5,22,0,3,1,1,0.66,0.6212,0.69,0.1045,236.7576017668444
2012-05-30,2,1,5,23,0,3,1,1,0.66,0.6212,0.65,0.1045,174.18500582072923
2012-05-31,2,1,5,0,0,4,1,1,0.64,0.6061,0.69,0.1343,50.97449203469929
2012-05-31,2,1,5,1,0,4,1,1,0.64,0.6061,0.69,0.0896,30.19338662761288
2012-05-31,2,1,5,2,0,4,1,1,0.64,0.6061,0.65,0.0896,22.128684042022854
2012-05-31,2,1,5,3,0,4,1,1,0.62,0.6061,0.69,0.0896,22.26317976226966
2012-05-31,2,1,5,4,0,4,1,1,0.62,0.6061,0.69,0.0,22.26317976226966
2012-05-31,2,1,5,5,0,4,1,1,0.62,0.6061,0.69,0.2537,45.43969801697662
2012-05-31,2,1,5,6,0,4,1,1,0.6,0.5909,0.73,0.2239,148.16145826180806
2012-05-31,2,1,5,7,0,4,1,1,0.6,0.6061,0.64,0.2836,372.8425653369979
2012-05-31,2,1,5,8,0,4,1,1,0.62,0.6212,0.57,0.2537,587.2850286781231
2012-05-31,2,1,5,9,0,4,1,1,0.66,0.6212,0.47,0.2537,319.7459364239455
2012-05-31,2,1,5,10,0,4,1,1,0.7,0.6364,0.39,0.3881,220.3984304271883
2012-05-31,2,1,5,11,0,4,1,1,0.72,0.6515,0.37,0.2836,244.89279341833182
2012-05-31,2,1,5,12,0,4,1,1,0.72,0.6515,0.37,0.194,288.3538355458523
2012-05-31,2,1,5,13,0,4,1,1,0.74,0.6515,0.35,0.1343,284.65664508805276
2012-05-31,2,1,5,14,0,4,1,1,0.76,0.6667,0.31,0.194,273.78566974889054
2012-05-31,2,1,5,15,0,4,1,1,0.76,0.6667,0.33,0.2985,275.2742901007063
2012-05-31,2,1,5,16,0,4,1,1,0.76,0.6667,0.33,0.2836,403.815098863765
2012-05-31,2,1,5,17,0,4,1,1,0.76,0.6667,0.31,0.1642,814.0877662851062
2012-05-31,2,1,5,18,0,4,1,1,0.74,0.6515,0.3,0.194,777.0832764458088
2012-05-31,2,1,5,19,0,4,1,1,0.72,0.6515,0.34,0.1642,555.1276904016662
2012-05-31,2,1,5,20,0,4,1,1,0.68,0.6364,0.44,0.1642,400.3070280133474
2012-05-31,2,1,5,21,0,4,1,1,0.68,0.6364,0.44,0.1642,308.0235476348616
2012-05-31,2,1,5,22,0,4,1,1,0.66,0.6212,0.5,0.1642,245.68943531229593
2012-05-31,2,1,5,23,0,4,1,1,0.66,0.6212,0.54,0.2239,186.04077532327187
2012-06-01,2,1,6,0,0,5,1,1,0.66,0.6212,0.5,0.2537,70.85418820930879
